Title,Description,Date,URL
Trump’s Stock Market Blame-Shifting,"President Donald Trump said the faltering stock market “is Biden’s Stock Market, not Trump’s” and that a downturn wasn’t due to tariffs. Our graphic shows how the markets responded after Trump made various tariff announcements.","May 5, 2025",https://www.factcheck.org/2025/05/trumps-stock-market-blame-shifting/
FactCheck.org Wins National Headliner Award,We are honored to have won a 2025 National Headliner Award for online beat reporting of government and political coverage. Our work fact-checking then presidential candidate Donald Trump on immigration issues won the first-place award in that category.,"May 2, 2025",https://www.factcheck.org/2025/05/factcheck-org-wins-national-headliner-award/
Trump’s 100th Day Spin,"To commemorate his first 100 days in office this term, President Donald Trump gave a speech in Michigan and granted interviews to several news outlets. In our review of his remarks, we found false and misleading claims, including quite a few Trump has made before.","May 1, 2025",https://www.factcheck.org/2025/05/trumps-100th-day-spin/
Tracking Trump’s Promises at the 100-Day Mark,We look at a half dozen of Trump’s most consequential pledges – ones that he said would happen immediately — and the progress Trump has made toward fulfilling them.,"April 29, 2025",https://www.factcheck.org/2025/04/tracking-trumps-promises-at-the-100-day-mark/
"RFK Jr. Misleads on Autism Prevalence, Causes","In announcing new autism prevalence data from the Centers for Disease Control and Prevention, Health and Human Services Secretary Robert F. Kennedy Jr. distorted scientific research to argue that there is an “epidemic” of autism that must be due to an “environmental toxin.”","April 28, 2025",https://www.factcheck.org/2025/04/rfk-jr-misleads-on-autism-prevalence-causes/
"Trump’s False Claims about Gas, Egg Prices","Several times over the last week, President Donald Trump has assured Americans that the prices of eggs and gasoline are down significantly. But he has made false claims about the cost of both products.","April 24, 2025",https://www.factcheck.org/2025/04/trumps-false-claims-about-gas-egg-prices/
"Graphic Cites FactCheck.org in Misleading Biden, Trump Economy Comparison","A graphic circulating on social media compares Donald Trump’s and Joe Biden’s economic records as president and cites FactCheck.org as the source. But two of its figures are way off, and others are out of date — creating a more unfavorable comparison for Trump.","April 24, 2025",https://www.factcheck.org/2025/04/graphic-cites-factcheck-org-in-misleading-biden-trump-economy-comparison/
Due Process and the Abrego Garcia Case,"The Supreme Court ruled on the evening of April 10 that the Trump administration must comply with a lower court’s order to “facilitate” the release from custody of Kilmar Armando Abrego Garcia, an immigrant who was deported without a hearing to a mega prison in El Salvador. The case underscores the issue of due process and what legal protections are afforded to noncitizens.","April 23, 2025",https://www.factcheck.org/2025/04/due-process-and-the-abrego-garcia-case/
Biden’s Social Security Spin,"In his first speech since leaving office, former President Joe Biden criticized the Trump administration’s staffing cuts and other changes at the Social Security Administration, but he made several misleading claims in the process.","April 17, 2025",https://www.factcheck.org/2025/04/bidens-social-security-spin/
Trump Expands on Dubious Daily Tariff Revenue Claim,President Donald Trump has added to his unsupported claim that the U.S. is making “$2 billion a day” from tariffs by saying that the country was losing $2 billion or $3 billion “a day” under President Joe Biden. Economists told us that Trump appears to be wrongly comparing a very high – and unlikely – estimate of potential daily revenue from his tariffs with a figure reflecting the average daily U.S. trade deficit during Biden’s last year in office.,"April 17, 2025",https://www.factcheck.org/2025/04/trump-expands-on-dubious-daily-tariff-revenue-claim/
Musk’s Unsupported Claim to Have Unveiled Massive Illegal Voting by Noncitizens,"Elon Musk and the Department of Government Efficiency he leads claim to have unearthed evidence to prove a longstanding conspiracy theory about Democrats orchestrating illegal voting by noncitizens on a scale large enough to swing national elections in their favor. But voting experts say the claims are highly dubious, and DOGE hasn’t released any evidence.","April 17, 2025",https://www.factcheck.org/2025/04/musks-unsupported-claim-to-have-unveiled-massive-illegal-voting-by-noncitizens/
Trump’s Misleading Promotion of ‘Clean’ Coal,"While presenting a series of executive orders conceived to increase electricity generation from coal, President Donald Trump misleadingly suggested that environmental regulations were to blame for the industry’s decline, wrongly said that coal plants are being opened “all over Germany,” and misleadingly, and repeatedly, referred to coal as “clean.”","April 16, 2025",https://www.factcheck.org/2025/04/trumps-misleading-promotion-of-clean-coal/
Hits and Misses in RFK Jr.’s Comments on Food Dyes,"In recent weeks, Health and Human Services Secretary Robert F. Kennedy Jr. has said that “very, very strong studies” link food dyes to cancer and ADHD. Experts are concerned about the impacts of unhealthy diets and obesity in the U.S., but some say Kennedy overstates the role of food dyes in chronic disease.","April 16, 2025",https://www.factcheck.org/2025/04/hits-and-misses-in-rfk-jr-s-comments-on-food-dyes/
Trump Uses Questionable Figure for U.S. ‘Plants and Factories’ Lost Since NAFTA,"When President Donald Trump has talked about the need for higher tariffs on imports of foreign goods because of a decline in American manufacturing, he has often made the claim that “90,000 plants and factories” in the U.S. closed after the North American Free Trade Agreement took effect in 1994. But that figure is questionable, and experts say other factors, such as automation, had more to do with the large decline in U.S. manufacturing jobs than trade.","April 15, 2025",https://www.factcheck.org/2025/04/trump-uses-questionable-figure-for-u-s-plants-and-factories-lost-since-nafta/
"No Sign of Texas Measles Outbreak Slowing, Contrary to RFK Jr.’s Claims","On four separate occasions, Robert F. Kennedy Jr., the Health and Human Services secretary, has suggested that the measles outbreak in Texas, which is now over 500 cases, is beginning to subside and grow more slowly. But a review of state data indicates there’s no decline yet in the pace of cases.","April 11, 2025",https://www.factcheck.org/2025/04/no-sign-of-texas-measles-outbreak-slowing-contrary-to-rfk-jr-s-claims/
Independent Analyses Contradict Navarro’s $6 Trillion-Plus Tariff Revenue Estimate,"Before President Donald Trump paused some new tariffs that he unveiled on April 2, several economic groups estimated that tariffs he has announced this year could raise between roughly $2 trillion and more than $4 trillion in federal revenue over a 10-year period. But that’s well short of the $6 trillion or $7 trillion that White House trade adviser Peter Navarro claimed the tariffs would raise to help pay for tax cuts, including an extension of the 2017 tax law.","April 10, 2025",https://www.factcheck.org/2025/04/independent-analyses-contradict-navarros-6-trillion-plus-tariff-revenue-estimate/
What Are the ID Verification Changes for Social Security?,Q: Is it true the rumor that all Social Security beneficiaries will have to go to a location to verify their identity to receive their monthly check?,"April 9, 2025",https://www.factcheck.org/2025/04/what-are-the-id-verification-changes-for-social-security/
Democrats Question Social Security Administration Changes in Misleading Terms,"Abrupt changes in staffing and some procedures at the Social Security Administration, coupled with false and misleading claims about widespread fraud, have prompted heated criticism from Democrats, with some statements leaving the wrong impression that benefits are being cut. Experts share a concern that disorderly actions by the Trump administration could cause administrative errors and disruptions, but there has been no proposed change to benefits mandated by law.","April 9, 2025",https://www.factcheck.org/2025/04/democrats-question-social-security-administration-changes-in-misleading-terms/
Trump Misleads on Transgender Issues,We fact-check various aspects of two of President Donald Trump’s executive orders targeting transgender people.,"April 7, 2025",https://www.factcheck.org/2025/04/trump-misleads-on-transgender-issues/
Trump’s Misleading Tariff Chart,"In his Rose Garden announcement of sweeping new “reciprocal tariffs,” President Donald Trump held aloft a misleading chart that claimed to give a breakdown of the tariffs other countries charge the U.S. and the corresponding tariff that the U.S. will now impose against those countries.","April 3, 2025",https://www.factcheck.org/2025/04/trumps-misleading-tariff-chart/
Legal Scholars Dispute Constitutional ‘Loophole’ for a Third Trump Term,"President Donald Trump said in a March 30 interview that “there are methods” for him to serve a third term in the White House, and a Daily Mail article referred to a “loophole” in the 22nd Amendment that would make it possible. But legal experts told us the “loophole” legal argument is “implausible” and “defeats the clear intent” of the amendment.","April 3, 2025",https://www.factcheck.org/2025/04/legal-scholars-dispute-constitutional-loophole-for-a-third-trump-term/
How to Combat Misinformation,"Misinformation is nothing new. It has, however, become ubiquitous and, in some cases, more difficult and time-consuming than ever to debunk. Here’s our advice on how to identify bogus posts and factual distortions.","April 2, 2025",https://www.factcheck.org/2025/04/how-to-combat-misinformation/
Trump’s Misleading Claim on Canadian Dairy Tariffs,"To support his plan to increase tariffs, President Donald Trump has repeatedly said that the Canadian government charges U.S. farmers a 250% or 270% tariff on dairy products exported to Canada. That’s misleading. There are rates that high on the books, but they would only be charged if U.S. exports exceed predetermined tariff rate quotas, which the dairy exports don’t come close to meeting.","April 1, 2025",https://www.factcheck.org/2025/04/trumps-misleading-claim-on-canadian-dairy-tariffs/
Q&A on the Alien Enemies Act and Tren de Aragua in the U.S.,"The Trump administration has asked the Supreme Court to lift a District Court judge’s order blocking the use of an obscure 18th century law to summarily expel Venezuelan immigrants. Earlier this month, the administration sent hundreds of immigrants to an El Salvador prison because, officials alleged, they were members of a dangerous gang. We’ll lay out the facts as we know them regarding the key issues.","March 28, 2025",https://www.factcheck.org/2025/03/qa-on-the-alien-enemies-act-and-tren-de-aragua-in-the-u-s/
RFK Jr.’s Faulty Advice On Bird Flu,"In recent news appearances, Department of Health and Human Services Secretary Robert F. Kennedy Jr. has suggested allowing bird flu to spread in poultry flocks unchecked. Scientists say that’s risky because it gives the virus more opportunities to replicate, increasing the chance it could change to spread easily among humans.","March 28, 2025",https://www.factcheck.org/2025/03/rfk-jr-s-faulty-advice-on-bird-flu/
Posts Make Unsupported Claims About Origin of Texas Measles Outbreak,"The measles vaccine uses a weakened virus that’s never been shown to spread to others. Samples from the outbreak in Texas also show that a wild-type virus is responsible. Yet, social media posts have falsely claimed that the outbreak is due to a vaccine strain. Without evidence, other posts have blamed immigrants crossing the southern border illegally.","March 27, 2025",https://www.factcheck.org/2025/03/posts-make-unsupported-claims-about-origin-of-texas-measles-outbreak/
Was the Signal Chat Illegal?,"As fallout from a Trump administration group chat about a military attack in Yemen continues to unfold, some Democrats are saying the inadvertent inclusion of a journalist in the chat goes beyond incompetence — they say it was criminal.","March 27, 2025",https://www.factcheck.org/2025/03/was-the-signal-chat-illegal/
Q&A on Egg Prices,"President Donald Trump campaigned in 2024 on lowering egg prices, which increased significantly toward the end of the term of his predecessor, former President Joe Biden. Where do prices stand now? What caused them to spike last year? We answer those questions and more.","March 25, 2025",https://www.factcheck.org/2025/03/qa-on-egg-prices/
Viral Posts Share Phony ‘Leaked’ Audio of Vance Criticizing Musk,Vice President JD Vance has said White House adviser Elon Musk has made “mistakes” in his work with the Department of Government Efficiency. But social media posts are sharing what experts said is a manipulated audio clip that purports to be Vance making much harsher remarks about Musk. The vice president’s spokesperson called the clip “100% fake.”,"March 25, 2025",https://www.factcheck.org/2025/03/viral-posts-share-phony-leaked-audio-of-vance-criticizing-musk/
RFK Jr. Misleads About Measles Vaccine in Hannity Interview,"In an interview with Fox News’ Sean Hannity, Health and Human Services Secretary Robert F. Kennedy Jr. made several unsupported or misleading claims about the measles vaccine, which the Centers for Disease Control and Prevention has said is safe and “the most important tool to prevent” the disease. Meanwhile, a measles outbreak in Texas continues to expand.","March 21, 2025",https://www.factcheck.org/2025/03/rfk-jr-misleads-about-measles-vaccine-in-hannity-interview/
